
x: 290, y: 308
x: 353, y: 314
x: 378, y: 317
x: 385, y: 322
x: 332, y: 240
x: 352, y: 281
x: 365, y: 286
x: 358, y: 287
x: 270, y: 240
x: 126, y: 301
x: 570, y: 207
x: 579, y: 209
x: 584, y: 159
x: 253, y: 343
x: 261, y: 351
x: 257, y: 290
x: 596, y: 198
x: 245, y: 289
x: 581, y: 236
x: 581, y: 233
x: 226, y: 323
x: 223, y: 343
x: 219, y: 326
x: 215, y: 310
x: 208, y: 321
x: 580, y: 207
x: 579, y: 162
x: 262, y: 283
x: 243, y: 308
x: 235, y: 262
x: 231, y: 337
x: 593, y: 155
x: 592, y: 199
x: 580, y: 205
x: 63, y: 240
x: 586, y: 246
x: 579, y: 240
x: 506, y: 240
x: 573, y: 199
x: 230, y: 299
x: 231, y: 294
x: 593, y: 179
x: 218, y: 293
x: 228, y: 291
x: 223, y: 292
x: 219, y: 292
x: 592, y: 180
x: 320, y: 282
x: 428, y: 292
x: 426, y: 315
x: 320, y: 309
x: 338, y: 281
x: 359, y: 266
x: 351, y: 263
x: 395, y: 285
x: 407, y: 272
x: 404, y: 284
x: 406, y: 284
x: 320, y: 240
x: 385, y: 288
x: 387, y: 288
x: 391, y: 288
x: 391, y: 291
x: 405, y: 291
x: 395, y: 292
x: 320, y: 240
x: 245, y: 305
x: 244, y: 305
x: 228, y: 329
x: 235, y: 326
x: 238, y: 313
x: 320, y: 240
x: 320, y: 240
x: 320, y: 240
x: 214, y: 361
x: 320, y: 240
x: 320, y: 240
x: 51, y: 240
x: 320, y: 240
x: 171, y: 322
x: 165, y: 320
x: 165, y: 298
x: 320, y: 340
x: 320, y: 318
x: 320, y: 323
x: 320, y: 240
x: 320, y: 263
x: 320, y: 240
x: 320, y: 254
x: 320, y: 240
x: 320, y: 240
x: 320, y: 240
x: 320, y: 240
x: 269, y: 287
x: 270, y: 286
x: 263, y: 285
x: 256, y: 284
x: 250, y: 301
x: 271, y: 307
x: 393, y: 310
x: 222, y: 313
x: 327, y: 309
x: 339, y: 316
x: 242, y: 321
x: 344, y: 318
x: 330, y: 313
x: 320, y: 314
x: 320, y: 315
x: 320, y: 314
x: 320, y: 301
x: 325, y: 320
x: 320, y: 318
x: 320, y: 299
x: 320, y: 317
x: 320, y: 319
x: 217, y: 322
x: 232, y: 322
x: 300, y: 324
x: 220, y: 310
x: 293, y: 302
x: 282, y: 306
x: 344, y: 311
x: 345, y: 309
x: 320, y: 298
x: 355, y: 300
x: 426, y: 307
x: 377, y: 304
x: 382, y: 303
x: 411, y: 288
x: 364, y: 288
x: 339, y: 294
x: 320, y: 240
x: 320, y: 240
x: 146, y: 240
x: 146, y: 240
x: 161, y: 240
x: 166, y: 240
x: 155, y: 240
x: 146, y: 240
x: 144, y: 240
x: 159, y: 240
x: 162, y: 240
x: 146, y: 240
x: 425, y: 245
x: 437, y: 258
x: 142, y: 240
x: 133, y: 240
x: 144, y: 240
x: 150, y: 240
x: 152, y: 240
x: 138, y: 240
x: 135, y: 240
x: 139, y: 240
x: 136, y: 240
x: 138, y: 240
x: 137, y: 240
x: 138, y: 240
